position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
22,New Dens,Mauton,0.879,0.458,0.192,0.39,1,0.268,123.602,130097,-10.924,8,https://open.spotify.com/track/3j5BO6DuCQLCHxHzWjOrDE
23,Yoga,645AR,0.864,0.613,0.781,0.169,1,0.038,150.067,91200,-6.505,2,https://open.spotify.com/track/2DiybJZJGXyV1UYmngo3eq
24,Astronomia,Vicetone,0.653,0.945,0.096,0.326,1,0.00561,126.093,198095,-2.634,5,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
25,Outlawz,Terror Reid,0.787,0.86,0.182,0.625,0,0.206,89.997,224000,-6.38,6,https://open.spotify.com/track/0wMBON83H9bcRTTWhprziY
26,Address It,LPB Poody,0.903,0.611,0.268,0.329,0,0.109,94.525,146688,-8.006,10,https://open.spotify.com/track/1FgPyHX7HruKDL4Tx4MeZB
27,Päivätöikseni susta tykkään,Lassi Viljanen,0.592,0.676,0.0411,0.836,1,0.253,154.043,183896,-13.183,1,https://open.spotify.com/track/3fSPmq0rrAU3vJCgc2LRBk
28,Tässäkö tää oli? (feat. Leavings-Orkesteri),Arttu Wiskari,0.773,0.644,0.0335,0.801,0,0.151,126.029,222070,-6.092,5,https://open.spotify.com/track/3DxOpRtAzmGviFnsn0aM8m
29,Mielenvika,Eteläranta,0.485,0.495,0.0262,0.43,1,0.358,82.337,286002,-7.351,9,https://open.spotify.com/track/5S1SYsHHNhKahZsjHez6P1
30,Fall from the Sky,Arilena Ara,0.369,0.677,0.0365,0.243,0,0.0187,144.755,188890,-3.382,7,https://open.spotify.com/track/0Y6JVcxzdXaNwHROjoyuww
31,Jeesus II,Jumal X10 Lavis,0.683,0.752,0.241,0.617,0,0.37,173.946,275862,-7.857,6,https://open.spotify.com/track/7Fvp99xpmhujw3UiVyMJP1
32,Naisten kaljailta,Eija Sinikka,0.827,0.632,0.0724,0.897,1,0.274,131.175,168085,-8.66,4,https://open.spotify.com/track/1wCGctqepYgWEN0NescTj5
33,On Fire,THE ROOP,0.72,0.738,0.216,0.474,1,0.279,122.021,170225,-3.9,8,https://open.spotify.com/track/5TXxwRgdIS4gPjUtKwTuSb
34,Posliinii,Ronja Mariela,0.708,0.573,0.0335,0.618,0,0.158,109.981,188698,-6.821,11,https://open.spotify.com/track/3UMx9s5adY8R5cav2MgAIq
35,Driving In Style,Thundermother,0.495,0.95,0.0527,0.417,0,9.77e-06,90.021,223667,-3.295,9,https://open.spotify.com/track/4iTlGw3WqMzBpQslxNZo4D
36,Righteous,Juice WRLD,0.707,0.622,0.031,0.223,1,0.0397,142.942,243357,-6.951,0,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
37,Time (You and I),Khruangbin,0.751,0.491,0.045,0.926,1,0.00945,105.408,342189,-13.677,11,https://open.spotify.com/track/2QoiyjegLQ3DWKBfFX9ihX
38,Répondez-moi,Gjon's Tears,0.332,0.307,0.0345,0.0929,0,0.566,104.134,179980,-9.443,3,https://open.spotify.com/track/7t86YtzrVP2wptfK0QmBkW
39,Suffer With Me,líue,0.554,0.95,0.0758,0.226,1,0.00911,161.506,207936,-3.82,8,https://open.spotify.com/track/3nfj9Fdbl30TvcZE9sU0Vx
40,Think About Things,Daði Freyr,0.871,0.341,0.0576,0.612,0,0.0311,127.001,173386,-8.932,3,https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
